SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Alimuddin Para Uttar,আলীমুদ্দীন পাড়া উত্তর,ALI101,21.653373,92.310993,40,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Bojol Member Para,বজল মেম্বার পাড়া,ALI102,21.653231,92.304408,50,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Mostak Para,মোস্তাক পাড়া,ALI103,21.656151,92.310559,300,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Pashchim Saber Mia Para ,পশ্চিম ছাবের মিয়া পাড়া ,ALI104,21.653588,92.299773,200,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Purba Saber Mia Para,পূর্ব ছাবের মিয়া পাড়া,ALI105,21.658173,92.305257,200,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Saber Mia Para,ছাবের মিয়া পাড়া,ALI106,21.654204,92.303525,800,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Soyedur Rahman Para,ছৈয়দুর রহমান পাড়া,ALI107,21.653370,92.305080,40,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,T&T Para,টি এন্ড টি পাড়া,ALI108,21.655076,92.311545,60,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Thana Para,থানা পাড়া,ALI109,21.655120,92.307556,800,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Thanda Mistri Para,ঠান্ডা মিস্ত্রী পাড়া,ALI110,21.658274,92.309923,400,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Thowaichahla Aungbai Para,থোয়াইচাহ্লা অংবাই পাড়া,ALI111,21.651754,92.305655,200,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Upazila Porishod Para,উপজেলা পরিষদ পাড়া,ALI112,21.652865,92.307669,40,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Alimuddin Para,আলীমুদ্দীন পাড়া,ALI201,21.652078,92.311197,3200,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Anawar Hossain Para,আনোয়ার হোসেন পাড়া,ALI202,21.648151,92.310223,600,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Bazar Marma Para,বাজার মার্মা পাড়া,ALI203,21.645359,92.309044,700,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Bazar Para,বাজার পাড়া,ALI204,21.645620,92.307764,250,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Farid Chairman Para,ফরিদ চেয়ারম্যান পাড়া,ALI205,21.649451,92.311806,120,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Khuilla Mia Para,খুইল্যা মিয়া পাড়া,ALI206,21.644743,92.311215,600,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Nasir Chairman Para,নাছির চেয়ারম্যান পাড়া,ALI207,21.646856,92.307964,150,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Nuruzzaman Para,নুরুজ্জামান পাড়া,ALI208,21.646678,92.310985,350,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Pashchim Bazar Para,পশ্চিম বাজার পাড়া,ALI209,21.646613,92.306548,400,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Sadar Hindu Para,সদর হিন্দু পাড়া,ALI210,21.650021,92.307476,400,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Thowaichahla Para,থোয়াইচাহ্লা পাড়া,ALI211,21.651312,92.306203,200,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,02,,,,Upazila Sadar Para,উপজেলা সদর পাড়া,ALI212,21.651747,92.308322,130,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Abu Mia Sardar Para,আবু মিয়া সর্দার পাড়া,ALI301,21.644444,92.330187,300,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Amtali Ghonar Para,আমতলী ঘোনার পাড়া,ALI302,21.648805,92.329478,1200,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Amtalir Char Para,আমতলীর চর পাড়া,ALI303,21.652012,92.342601,400,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Dakkhin Purba Palong Para,দক্ষিণ পূর্ব পালং পাড়া,ALI304,21.641336,92.332834,650,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Haji Gura Mia Sarder Para,হাজী গুরা মিয়া সর্দার পাড়া,ALI305,21.648392,92.324582,400,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Liyakot Ali Para,লিয়াকত আলী পাড়া,ALI306,21.652038,92.317773,600,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Mongshoipru Para,মংশৈপ্রু পাড়া,ALI307,21.644299,92.325734,220,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,03,,,,Monjur Alam Sardar Para,মন্জুর আলম  সর্দার পাড়া,ALI308,21.646567,92.332775,650,,,,,,,,,,,,,,,,,,,,
