SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,01,,,,Azizuddin Colony Para,আজিজউদ্দিন কলোনী পাড়া,AZI101,21.907527,92.064070,80,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,01,,,,Road Para,রোড পাড়া,AZI102,21.903243,92.061867,350,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,01,,,,Uttar Para,উত্তর পাড়া,AZI103,21.909432,92.064123,1300,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,01,,,,Aziznagar Police Camp,আজিজনগর পুলিশ ক্যাম্প,AZI104,21.906305,92.064106,25,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,02,,,,Bosonto Chanda Para,বসন্ত চাঁন্দা পাড়া,AZI201,21.923625,92.089433,40,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,02,,,,Himchhari Para,হিমছড়ি পাড়া,AZI202,21.915027,92.070520,600,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,02,,,,Mission Para,মিশন পাড়া,AZI203,21.907891,92.067326,1000,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,02,,,,Muslim Para,মুসলিম পাড়া,AZI204,21.916585,92.076541,400,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,02,,,,Telunia Para (Uttar-Pashchimangsho),তেলুনিয়া পাড়া (উত্তর-পশ্চিমাংশ),AZI205,21.908307,92.071594,500,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,03,,,,Chairman Para,চেয়ারম্যান পাড়া,AZI301,21.903111,92.065585,500,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Bandarban,Lama,Aziznagar,03,,,,Chambi Mofiz Bazar Para,চাম্বি মফিজ বাজার পাড়া,AZI302,21.904501,92.064043,100,,,,,,,,,,,,,,,,,,,,
