SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Dochharimukh Para,দোছড়িমুখ পাড়া,BAI101,21.626180,92.161101,150,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Dolurjhiri Para,ডলুরঝিরি পাড়া,BAI102,21.613853,92.175914,100,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Ghona Para,ঘোনা পাড়া,BAI103,21.616855,92.129712,200,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Gorjontoli Para,গর্জনতলী পাড়া,BAI104,21.626307,92.164114,150,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Kagazi Khola Para/Baggola Bazar Para,কাগজী খোলা পাড়া/বাগগুলা বাজার পাড়া,BAI105,21.622154,92.141193,450,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Kyathoyai Para,ক্যথোয়াই পাড়া,BAI106,21.623338,92.150248,450,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Natun Para,নতুন পাড়া,BAI107,21.625320,92.152748,250,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,01,,,,Kagazi Khola Police Fari,কাগজী খোলা পুলিশ ফাঁড়ি,BAI108,21.625345,92.142562,30,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Asrayan Prakalpa Para,আশ্রয়ণ প্রকল্প পাড়া,BAI201,21.600411,92.152041,150,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Athuimong Para,আথুইমং পাড়া,BAI202,21.598691,92.148830,300,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Baraichar Para,বড়ইচর পাড়া,BAI203,21.589666,92.172090,200,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Chhoto Dolurjhiri Para,ছোট ডলুরঝিরি পাড়া,BAI204,21.608164,92.169088,300,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Ghilatali Para,ঘিলাতলী পাড়া,BAI205,21.607968,92.148863,80,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Kyanggar Bill Para,ক্যাংগার বিল পাড়া,BAI206,21.596323,92.152745,500,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Rajchondro Karbari Para,রাজচন্দ্র কারবারি পাড়া,BAI207,21.600959,92.209038,200,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Rangajhiri Para,রাঙ্গাঝিরি পাড়া,BAI208,21.598239,92.183677,400,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,02,,,,Zialchhara Para,জিয়লছড়া পাড়া,BAI209,21.604193,92.155955,70,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Alikkhyong Para,আলীক্ষ্যং পাড়া,BAI301,21.576713,92.186062,450,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Baidya Para,বৈদ্য পাড়া,BAI302,21.573562,92.267637,500,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Boroijhiri Para,বরইঝিরি পাড়া,BAI303,21.577849,92.196919,100,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Chakmarjhiri Para,চাকমারঝিরি পাড়া,BAI304,21.588113,92.279789,150,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Chhuroi Headman Para,ছুড়ই হেডম্যান পাড়া,BAI305,21.574811,92.246760,170,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Dhuilyajhiri Para,ধুইল্যাঝিরি পাড়া,BAI306,21.581902,92.176408,40,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Hafjhiri/Enchong Para,হাফঝিরি/ইনচং পাড়া,BAI307,21.589890,92.250223,100,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Hatirdat Jhiri Para,হাতিরদাঁত ঝিরি পাড়া,BAI308,21.542945,92.260282,80,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Headman Para,হেডম্যান পাড়া,BAI309,21.573297,92.199548,300,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Kamchum Para,কামচুম পাড়া,BAI310,21.579938,92.290700,100,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Krolai Para,ক্রলই পাড়া,BAI311,21.599504,92.266003,120,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Mirjhiri Para,মীরজিরি পাড়া,BAI312,21.571593,92.192714,250,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Moshalla Para,মসল্লা পাড়া,BAI313,21.594414,92.286153,100,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Namloi Para,নামলই পাড়া,BAI314,21.600068,92.251408,150,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Porajhiri Para,পোড়াঝিরি পাড়া,BAI315,21.580374,92.188815,150,,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Sadekujhiri Para,ছাদেকুঝিরি পাড়া,BAI316,21.579773,92.182110,250,,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Shiljhiri Para,শিলঝিরি পাড়া,BAI317,21.550628,92.257774,80,,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Simanar Jhiri Para,সীমানার ঝিরি পাড়া,BAI318,21.578539,92.177176,120,,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Tutukkhali Para,তুতুকখালী পাড়া,BAI319,21.579492,92.192903,350,,,,,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Alikkhyong Police Camp,আলীক্ষ্যং পুলিশ ক্যাম্প,BAI320,21.577527,92.187929,25,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Shinai Tripura Para,সিনাই ত্রিপুরা পাড়া,BAI321,21.539350,92.253984,38,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Polirjhiri Tripura Para,পলিরঝিরি ত্রিপুরা পাড়া,BAI322,21.572520,92.224348,42,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Longadu Uttam Tripura Para,লংগদু উত্তম ত্রিপুরা পাড়া,BAI323,21.565850,92.230178,78,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,03,,,,Undefined,নামহীন,BAI324,21.557326,92.287045,,,,,,,,,,,,,,,,,,,,,
42,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Chaillahtali Para,চাইল্যাতলি পাড়া,BAI401,21.547747,92.181032,120,,,,,,,,,,,,,,,,,,,,
43,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Choraghona Para,চোরাঘোনা পাড়া,BAI402,21.536280,92.164684,60,,,,,,,,,,,,,,,,,,,,
44,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Dakkhin Karalia Mura Para,দক্ষিণ করলিয়া মুরা পাড়া,BAI403,21.527896,92.163728,550,,,,,,,,,,,,,,,,,,,,
45,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Ghona Para,ঘোনা পাড়া,BAI404,21.536842,92.171473,60,,,,,,,,,,,,,,,,,,,,
46,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Karalia Mura Para,করলিয়া মুরা পাড়া,BAI405,21.532462,92.164673,500,,,,,,,,,,,,,,,,,,,,
47,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Lambabil Para,লম্বাবিল পাড়া,BAI406,21.527357,92.170123,600,,,,,,,,,,,,,,,,,,,,
48,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Muiyaung Para,মুইঅং পাড়া,BAI407,21.543077,92.168511,160,,,,,,,,,,,,,,,,,,,,
49,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,04,,,,Uttar Karalia Mura Para,উত্তর করলিয়া মুরা পাড়া,BAI408,21.535116,92.161068,340,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,05,,,,Bacha Mia Para,বাঁচা মিয়া পাড়া,BAI501,21.516715,92.169700,100,,,,,,,,,,,,,,,,,,,,
51,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,05,,,,Lambabil Para,লম্বাবিল পাড়া,BAI502,21.524082,92.170149,250,,,,,,,,,,,,,,,,,,,,
52,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,05,,,,Madhya Haldyashia Para,মধ্য হলদ্যাশিয়া পাড়া,BAI503,21.521455,92.167543,400,,,,,,,,,,,,,,,,,,,,
53,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,05,,,,Uttar Haldyashia Para,উত্তর হলদ্যাশিয়া পাড়া,BAI504,21.524184,92.163972,150,,,,,,,,,,,,,,,,,,,,
54,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,06,,,,Chhaduaung Para ,ছাদুঅং পাড়া,BAI601,21.525573,92.173589,120,,,,,,,,,,,,,,,,,,,,
55,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,06,,,,Madhyam Chak Para,মধ্যম চাক পাড়া,BAI602,21.531207,92.190596,150,,,,,,,,,,,,,,,,,,,,
56,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,06,,,,Thuihla Aung Para,থুইহ্লা অং পাড়া,BAI603,21.536217,92.175029,300,,,,,,,,,,,,,,,,,,,,
57,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,06,,,,Titar Para,তিতার পাড়া,BAI604,21.531865,92.173623,450,,,,,,,,,,,,,,,,,,,,
58,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,06,,,,Upar Chak Para,উপর চাক পাড়া,BAI605,21.534406,92.189331,250,,,,,,,,,,,,,,,,,,,,
59,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Dhaban Khali Para,ধাবন খালী পাড়া,BAI701,21.521018,92.172401,100,,,,,,,,,,,,,,,,,,,,
60,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Gudam Para,গুদাম পাড়া,BAI702,21.515662,92.172032,50,,,,,,,,,,,,,,,,,,,,
61,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Madhyam Baishari Para,মধ্যম বাইশারী পাড়া,BAI703,21.511889,92.177332,600,,,,,,,,,,,,,,,,,,,,
62,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Moger Kil Para,মগের কিল পাড়া,BAI704,21.507952,92.172288,300,,,,,,,,,,,,,,,,,,,,
63,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Mandir Para,মন্দির পাড়া,BAI705,21.508855,92.176298,150,,,,,,,,,,,,,,,,,,,,
64,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Pedan Ali Para,পেডান আলী পাড়া,BAI706,21.504919,92.176425,150,,,,,,,,,,,,,,,,,,,,
65,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Pashchim Baishari Para,পশ্চিম বাইশারী পাড়া,BAI707,21.513313,92.173842,150,,,,,,,,,,,,,,,,,,,,
66,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Uttar Baishari Para,উত্তর বাইশারী পাড়া,BAI708,21.517507,92.176094,750,,,,,,,,,,,,,,,,,,,,
67,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,07,,,,Baishari Police Todonto Kendra,বাইশারী পুলিশ তদন্ত কেন্দ্র,BAI709,21.507012,92.177426,25,,,,,,,,,,,,,,,,,,,,
68,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Ali Mia Para,আলী মিয়া পাড়া,BAI801,21.510970,92.194464,350,,,,,,,,,,,,,,,,,,,,
69,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Dakhhin Narich Bunia Para,দক্ষিণ নারিচ বুনিয়া পাড়া,BAI802,21.503197,92.186161,500,,,,,,,,,,,,,,,,,,,,
70,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Dhoiya Baper Para,ধৈয়া বাপের পাড়া,BAI803,21.508009,92.194138,500,,,,,,,,,,,,,,,,,,,,
71,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Harin Khaiya Para,হরিণ খাইয়া পাড়া,BAI804,21.509293,92.201170,400,,,,,,,,,,,,,,,,,,,,
72,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Karimar Jhiri Para,করিমার ঝিরি পাড়া,BAI805,21.513116,92.188297,300,,,,,,,,,,,,,,,,,,,,
73,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Natun Chak Para,নতুন চাক পাড়া,BAI806,21.515448,92.197396,300,,,,,,,,,,,,,,,,,,,,
74,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Pashchim Narichbunia Para,পশ্চিম নারিচবুনিয়া পাড়া,BAI807,21.508179,92.181677,400,,,,,,,,,,,,,,,,,,,,
75,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Punarbasan Para,পূর্ণবাসন পাড়া,BAI808,21.510828,92.190864,400,,,,,,,,,,,,,,,,,,,,
76,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Sapmara Jhiri Para,সাপমারা ঝিরি পাড়া,BAI809,21.482221,92.221139,100,,,,,,,,,,,,,,,,,,,,
77,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Thimchhari Para,থিমছড়ি পাড়া,BAI810,21.499817,92.208152,250,,,,,,,,,,,,,,,,,,,,
78,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,08,,,,Uttar Narichbunia Para,উত্তর নারিচবুনিয়া পাড়া,BAI811,21.506854,92.187107,500,,,,,,,,,,,,,,,,,,,,
79,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Borguna Para,বরগুনা পাড়া,BAI901,21.522287,92.185421,20,,,,,,,,,,,,,,,,,,,,
80,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Headman Chak Para,হেডম্যান চাক পাড়া,BAI902,21.526767,92.190283,65,,,,,,,,,,,,,,,,,,,,
81,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Joutha Khamar Para,যৌথ খামার পাড়া,BAI903,21.524800,92.181135,110,,,,,,,,,,,,,,,,,,,,
82,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Karimar Jhiri Para,করিমার ঝিরি পাড়া,BAI904,21.512284,92.182553,25,,,,,,,,,,,,,,,,,,,,
83,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Purba Baishari Para,পূর্ব বাইশারী পাড়া,BAI905,21.514960,92.184062,80,,,,,,,,,,,,,,,,,,,,
84,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Tufan Ali Para,তুফান আলী পাড়া,BAI906,21.518260,92.185267,150,,,,,,,,,,,,,,,,,,,,
85,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Baishari,09,,,,Uttar Baishari Para,উত্তর বাইশারী পাড়া,BAI907,21.518417,92.179805,70,,,,,,,,,,,,,,,,,,,,
86,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Bakkhali Para,বাকখালী পাড়া,DOC101,21.491482,92.248337,120,,,,,,,,,,,,,,,,,,,,
87,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Betorjhiri Para,বেতরঝিরি পাড়া,DOC102,21.513581,92.245615,120,,,,,,,,,,,,,,,,,,,,
88,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Chagolkhaiya Para,ছাগলখাইয়া পাড়া,DOC103,21.484591,92.226514,240,,,,,,,,,,,,,,,,,,,,
89,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Chaillajhiri Para,চাইল্যাঝিরি পাড়া,DOC104,21.509639,92.246884,240,,,,,,,,,,,,,,,,,,,,
90,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Chikonchhari Para,চিকনছড়ি পাড়া,DOC105,21.481294,92.234934,300,,,,,,,,,,,,,,,,,,,,
91,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Lodurmukh Math Para,লদুরমুখ মাঠ পাড়া,DOC106,21.523582,92.241133,100,,,,,,,,,,,,,,,,,,,,
92,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Longkhai Para,লংখাই পাড়া,DOC107,21.510882,92.241462,200,,,,,,,,,,,,,,,,,,,,
93,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Mamabhaginar Jhiri Para,মামাভাগিনার ঝিরি পাড়া,DOC108,21.504915,92.251335,110,,,,,,,,,,,,,,,,,,,,
94,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Murangkhaiya Para,মুরুংখাইয়া পাড়া,DOC109,21.492236,92.241195,290,,,,,,,,,,,,,,,,,,,,
95,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Pashchim Chagolkhaiya Para,পশ্চিম ছাগলখাইয়া পাড়া,DOC110,21.486407,92.234782,230,,,,,,,,,,,,,,,,,,,,
96,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Thandajhiri Para,ঠাণ্ডাঝিরি পাড়া,DOC111,21.491039,92.249538,75,,,,,,,,,,,,,,,,,,,,
97,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,01,,,,Chhagolkhaiya BGB Camp,ছাগলখাইয়া বিজিবি ক্যাম্প,DOC112,21.485680,92.235878,40,,,,,,,,,,,,,,,,,,,,
98,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Baichalong Para,বাইচাং পাড়া,DOC201,21.503937,92.274235,50,,,,,,,,,,,,,,,,,,,,
99,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Dhugnki Aung Marma Para,ধুংকি অং মারমা পাড়া,DOC202,21.538393,92.254795,10,,,,,,,,,,,,,,,,,,,,
100,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Dolurjhiri Para,ডলুরঝিরি পাড়া,DOC203,21.488798,92.255243,150,,,,,,,,,,,,,,,,,,,,
101,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Eden Tripura Para,এদেন ত্রিপুরা পাড়া,DOC204,21.527327,92.252153,30,,,,,,,,,,,,,,,,,,,,
102,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Lakri Murang/Mro  Para,লাক্রি মুরং/ম্রো পাড়া,DOC205,21.531345,92.277169,150,,,,,,,,,,,,,,,,,,,,
103,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Limwai Murang/Mro  Para,লিমওয়াই মুরং/ম্রো পাড়া,DOC206,21.560459,92.319085,30,,,,,,,,,,,,,,,,,,,,
104,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Lodurmukh Para,লদুরমুখ পাড়া,DOC207,21.527762,92.248068,20,,,,,,,,,,,,,,,,,,,,
105,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Monghla Pro Chak Para,মংহ্লা প্রো চাক পাড়া,DOC208,21.523391,92.270541,250,,,,,,,,,,,,,,,,,,,,
106,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Nitarjhiri Para,নিতারঝিরি পাড়া,DOC209,21.498246,92.268659,35,,,,,,,,,,,,,,,,,,,,
107,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Palongkhai Para,পালংখাই পাড়া,DOC210,21.490660,92.253703,120,,,,,,,,,,,,,,,,,,,,
108,Bangladesh,Chattogram,Bandarban,Naikkhyongchhari,Dochhari,02,,,,Pongchujhiri Chak Para ,পংচুঝিরি চাক পাড়া ,DOC211,21.533184,92.266479,40,,,,,,,,,,,,,,,,,,,,
