SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Bom Headman Para,বম হেডম্যান পাড়া,ALK101,22.2405279,92.3494625,45,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Gura Para,গুরা পাড়া,ALK102,22.2381584,92.3508264,180,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Mongbau Para,মংবাউ পাড়া,ALK103,22.2648327,92.3776405,80,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Mongpru Para,মংপ্রু পাড়া,ALK104,22.2379360,92.3489293,402,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Noa Para,নোয়া পাড়া,ALK105,22.2564664,92.3840087,172,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,01,,,,Wabrain Para,ওয়াব্রাইন পাড়া,ALK106,22.2424178,92.3504598,120,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Binanggo Para,বিনাংগো পাড়া,ALK201,22.2812399,92.3933790,15,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Chini Para,চিনি পাড়া,ALK202,22.2643021,92.3945751,140,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Khelung Para,খেলুং পাড়া,ALK203,22.2491230,92.3929441,75,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Lokkhichondro Para,লক্ষীচন্দ্র পাড়া,ALK204,22.2806975,92.3739196,145,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Lolit Mohon Para,ললিত মোহন পাড়া,ALK205,22.2811679,92.3666521,95,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Ruru Para,রুরু পাড়া,ALK206,22.2647199,92.4311343,70,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,02,,,,Siramoni Para,সিরামনি পাড়া,ALK207,22.2726535,92.4206856,160,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Chuyanbil Para,চুয়ানবিল পাড়া,ALK301,22.2371421,92.4162578,110,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Doiyokumer Para,দৈয়্যকুমার পাড়া,ALK302,22.2409666,92.4447441,155,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Model Para,মডেল পাড়া,ALK303,22.2275364,92.4310549,120,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Mohendro Para,মহেন্দ্র পাড়া,ALK304,22.2415742,92.4613435,150,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Probhatchandro Para,প্রভাতচন্দ্র পাড়া,ALK305,22.2082480,92.4782408,38,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Protigga Para,প্রতিজ্ঞা পাড়া,ALK306,22.2136725,92.4533620,120,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Sippi Para,সিপ্পী পাড়া,ALK307,22.2008655,92.4870140,50,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Surjoban Para,সূর্যবান পাড়া,ALK308,22.1978877,92.4598095,180,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,03,,,,Taracha Para,তারাছা পাড়া,ALK309,22.2099527,92.4347141,100,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,04,,,,Chohla Para,চহ্লা পাড়া,ALK401,22.2358343,92.3460492,132,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,04,,,,Fosau Para,ফোসাউ পাড়া,ALK402,22.2336862,92.3930890,71,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,04,,,,Kochchhoptoli Bazar Para,কচ্ছপতলী বাজার পাড়া,ALK403,22.2366672,92.3481793,125,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,04,,,,Shilbadha Para,শীলবাধা পাড়া,ALK404,22.2401929,92.3648972,123,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,04,,,,Jadumoni Para,যাদুমনি পাড়া,ALK405,22.2351302,92.3505045,140,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Bakhyang Para,বাক্ষাং পাড়া,ALK501,22.2196913,92.3616235,31,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Bekhyang Para,বেক্ষ্যং পাড়া,ALK502,22.2225942,92.3423493,150,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Kocchoptoli Dakkhin Para,কচ্ছপতলী দক্ষিণ পাড়া,ALK503,22.2332968,92.3442064,257,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Kochchoptoli Uttar Para,কচ্ছপতলী উত্তর পাড়া,ALK504,22.2353379,92.3458734,212,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Legai Dakkhin Para,লেগাঁই দক্ষিণ পাড়া,ALK505,22.2158233,92.3405820,54,,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Legai Uttar Para,লেগাঁই উত্তর পাড়া,ALK506,22.2185547,92.3409258,53,,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,05,,,,Liragao Army Camp,লিরাগাও আর্মি ক্যাম্প,ALK507,22.2355882,92.3485552,50,,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,06,,,,Narai Para,নারাই পাড়া,ALK601,22.2250124,92.3939297,150,,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,06,,,,Rolki Para,রোলকি পাড়া,ALK602,22.2336538,92.4042954,65,,,,,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,06,,,,Sadu Headman Para,সাদু হেডম্যান পাড়া,ALK603,22.2285209,92.3849215,200,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,07,,,,Aungga Para,আংঙ্গা পাড়া,ALK701,22.2022663,92.3403888,65,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,07,,,,Grokkhyong Para,গ্রোক্ষ্যং পাড়া,ALK702,22.2140682,92.3369708,70,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,07,,,,Hlapaio Para,হ্লাপাইয় পাড়া,ALK703,22.2104248,92.3391354,200,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,07,,,,Nothukri Para,নঠুক্রি পাড়া,ALK704,22.2068791,92.3439024,123,,,,,,,,,,,,,,,,,,,,
42,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Bhanggamura Amtali Para,ভাংঙ্গামুড়া আমতলী পাড়া,ALK801,22.1882301,92.3371767,130,,,,,,,,,,,,,,,,,,,,
43,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Bijoy Para,বিজয় পাড়া,ALK802,22.1971072,92.3358969,203,,,,,,,,,,,,,,,,,,,,
44,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Battali Para,বটতলী পাড়া,ALK803,22.1854630,92.3376025,721,,,,,,,,,,,,,,,,,,,,
45,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Chanmoni Para,চানমনি পাড়া,ALK804,22.2043609,92.3421799,79,,,,,,,,,,,,,,,,,,,,
46,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Jamachondro Para,জামাচন্দ্র পাড়া,ALK805,22.2037006,92.3397000,104,,,,,,,,,,,,,,,,,,,,
47,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,08,,,,Paingkkhyong Para,পাইংক্ষ্যং পাড়া,ALK806,22.1942854,92.3370212,80,,,,,,,,,,,,,,,,,,,,
48,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,09,,,,Nathingjhiri Purnabasan Para,নাথিংঝিরি পূর্ণবাসন পাড়া,ALK901,22.1762335,92.3272866,120,,,,,,,,,,,,,,,,,,,,
49,Bangladesh,Chattogram,Bandarban,Rowangchhari,Alekkhyong,09,,,,Waggai Para,ওয়াগ্যই পাড়া,ALK902,22.1787827,92.3360938,850,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,Chattogram,Bandarban,Rowangchhari,Nowapatang,01,,,,Kanaijo Para,কানাইজো পাড়া,NOA101,22.3024229,92.2922871,700,,,,,,,,,,,,,,,,,,,,
51,Bangladesh,Chattogram,Bandarban,Rowangchhari,Nowapatang,02,,,,Antaha Bazar Para,আন্তাহা বাজার পাড়া,NOA201,22.2869102,92.2914479,230,,,,,,,,,,,,,,,,,,,,
52,Bangladesh,Chattogram,Bandarban,Rowangchhari,Nowapatang,02,,,,Antaha Tongchangya Para,আন্তাহা তংচংগ্যা পাড়া,NOA202,22.2895848,92.2893161,350,,,,,,,,,,,,,,,,,,,,
53,Bangladesh,Chattogram,Bandarban,Rowangchhari,Nowapatang,02,,,,Antaha Tripura Para,আন্তাহা ত্রিপুরা পাড়া,NOA203,22.2900105,92.2909731,800,,,,,,,,,,,,,,,,,,,,
54,Bangladesh,Chattogram,Bandarban,Rowangchhari,Nowapatang,02,,,,Antaha Para Sena Camp,আন্তাহা পাড়া সেনা ক্যাম্প,NOA204,22.2880285,92.2933595,50,,,,,,,,,,,,,,,,,,,,
