SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,01,,,,Mir Para,মীর পাড়া,BAC101,22.049157,91.941092,600,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,01,,,,Suyagazi Para,সুয়াগাজী পাড়া,BAC102,22.048460,91.939531,250,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,01,,,,Maidar Para,মাইদার পাড়া,BAC103,22.047420,91.930744,500,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,01,,,,Pashchim Jelepara,পশ্চিম জেলেপাড়া,BAC104,22.049602,91.930445,600,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,01,,,,Hindu Para,হিন্দু পাড়া,BAC105,22.047921,91.936389,2000,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,02,,,,Pashchim Hindupara,পশ্চিম হিন্দুপাড়া,BAC201,22.047480,91.938295,150,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,02,,,,Miya Bari,মিয়া বাড়ি,BAC202,22.047634,91.939397,200,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,02,,,,Chowkidar Para,চৌকিদার পাড়া,BAC203,22.047427,91.941199,350,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,02,,,,Mandal Para,মণ্ডল পাড়া,BAC204,22.045645,91.941253,300,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,02,,,,Titakhan Chowdhury Para,তিতাখান চৌধুরী পাড়া,BAC205,22.048616,91.942553,800,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Bakkhani Para,বাক্খনী পাড়া,BAC301,22.052282,91.945062,1000,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Monir Lamiyaji Khandaker Para,মনির লামিয়াজী খন্দকার পাড়া,BAC302,22.052425,91.943381,900,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Mirzakata Natun Para,মির্জাকাটা নতুন পাড়া,BAC303,22.048140,91.954107,700,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Satghar Para,সাতঘর পাড়া,BAC304,22.049300,91.950383,600,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Majher Para,মাঝের পাড়া,BAC305,22.050186,91.947230,700,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,03,,,,Uttar Para,উত্তর পাড়া,BAC306,22.050492,91.943760,400,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Maulavi Para,মৌলভী পাড়া,BAC401,22.046797,91.943120,500,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Mamtazer Baper Bari,মমতাজের বাপের বাড়ী,BAC402,22.045275,91.943159,300,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Abhayarkhil Madhyam Para,অভ্যারখিল মধ্যম পাড়া,BAC403,22.046231,91.944744,800,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Nasim Ali Chowkidar Bari,নছিম আলী চৌকিদার বাড়ী,BAC404,22.044423,91.946248,200,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Asunir Baper Bari,আসুনির বাপের বাড়ি,BAC405,22.045512,91.945689,600,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Talukdar Para,তালুকদার পাড়া,BAC406,22.047903,91.947893,700,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Jhunu Mistryr Bari,ঝুনু মিস্ত্রীর বাড়ী,BAC407,22.045326,91.947603,100,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,04,,,,Abhayarkhil Purba Para,অভ্যারখিল পূর্ব পাড়া,BAC408,22.044885,91.951179,600,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,05,,,,Rudra Para,রুদ্র পাড়া,BAC501,22.039269,91.950740,300,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,05,,,,Hania Para,হানিয়া পাড়া ,BAC502,22.040437,91.947167,200,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,05,,,,Tema Para,টেমা পাড়া,BAC503,22.038862,91.943316,700,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,05,,,,Purba Chechuria Hindu Para,পূর্ব চেচুরিয়া হিন্দু পাড়া,BAC504,22.042487,91.944211,1300,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,06,,,,Chowdhury Para,চৌধুরী পাড়া,BAC601,22.032423,91.945627,500,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,06,,,,Khadula Para,খদুলা পাড়া ,BAC602,22.036440,91.946470,2000,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,06,,,,Purba Khadula Para,পূর্ব খদুলা পাড়া,BAC603,22.035953,91.951674,1500,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,07,,,,Khandaker Para,খন্দকার পাড়া,BAC701,22.042941,91.941027,700,,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,07,,,,Shil Para,শীল পাড়া,BAC702,22.040512,91.936716,700,,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,07,,,,Tek Para,টেক পাড়া,BAC703,22.045848,91.931380,1000,,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,07,,,,Uttar Hindu Para,উত্তর হিন্দু পাড়া,BAC704,22.046576,91.936440,1500,,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,07,,,,Kulin Para,কুলিন পাড়া,BAC705,22.044258,91.938880,2000,,,,,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Natun Para,নতুন পাড়া,BAC801,22.036214,91.928910,150,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Khandaker Para,খন্দকার পাড়া,BAC802,22.040941,91.940826,1000,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Thema Para,ঠেমা পাড়া,BAC803,22.036025,91.942828,700,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Hindu Para,হিন্দু পাড়া,BAC804,22.039290,91.938223,650,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Hujita Para,হুজিতা পাড়া,BAC805,22.036064,91.938496,3500,,,,,,,,,,,,,,,,,,,,
42,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,08,,,,Fish Project,ফিশ প্রজেক্ট,BAC806,22.038299,91.932780,0,,,,,,,,,,,,,,,,,,,,
43,Bangladesh,Chattogram,Chattogram,Banshkhali,Bailchhari,09,,,,Chechuria Ghona Para,চেচুরিয়া ঘোনা পাড়া,BAC901,22.029330,91.930687,4000,,,,,,,,,,,,,,,,,,,,
44,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,01,,,,Pashchim Baharchhara,পশ্চিম বাহারছড়া,BAH101,22.063952,91.877341,2000,,,,,,,,,,,,,,,,,,,,
45,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,01,,,,Uttar Baharchhara,উত্তর বাহারছড়া,BAH102,22.074906,91.881016,5000,,,,,,,,,,,,,,,,,,,,
46,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,01,,,,"
Dighir Para",দীঘির পাড়া,BAH103,22.082641,91.878444,600,,,,,,,,,,,,,,,,,,,,
47,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,02,,,,Baharchhara,বাহারছড়া,BAH201,22.066460,91.884505,8000,,,,,,,,,,,,,,,,,,,,
48,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,02,,,,Uttar Ratnapur,উত্তর রত্নপুর,BAH202,22.061633,91.885674,3000,,,,,,,,,,,,,,,,,,,,
49,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,03,,,,Ratnapur,রত্নপুর,BAH301,22.054507,91.886059,5000,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,03,,,,Dakkhin Ratnapur,দক্ষিণ রত্নপুর,BAH302,22.047429,91.892048,7000,,,,,,,,,,,,,,,,,,,,
51,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,04,,,,Banshkhala (Madhaym) Para,বাঁশখালা (মধ্যম) পাড়া,BAH401,22.056384,91.901191,3200,,,,,,,,,,,,,,,,,,,,
52,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,04,,,,Pashchim Banshkhala,পশ্চিম বাঁশখালা,BAH402,22.057794,91.894813,4000,,,,,,,,,,,,,,,,,,,,
53,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,04,,,,Purba Banshkhala,পূর্ব বাঁশখালা,BAH403,22.059559,91.906921,3000,,,,,,,,,,,,,,,,,,,,
54,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,04,,,,Shil Para,শীল পাড়া,BAH404,22.060776,91.899647,200,,,,,,,,,,,,,,,,,,,,
55,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,05,,,,Ilsha,ইলশা,BAH501,22.070227,91.895119,3000,,,,,,,,,,,,,,,,,,,,
56,Bangladesh,Chattogram,Chattogram,Banshkhali,Baharchhara,05,,,,Dakkhin Ilsha,দক্ষিণ ইলশা,BAH502,22.062635,91.897672,2500,,,,,,,,,,,,,,,,,,,,
