SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,1,Jasmin Akter,,, Purbo Dhopachari ,,,,,1679,436,,736,736,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,2,Jasmin Akter,,, Songkher Kul ,,,,,1825,474,,444,454,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,3,Jannatul Ferdaws,,, Mager Para ,,,,,2575,669,,733,1552,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,4,Jannatul Ferdaws,,, Santir Bazar ,,,,,2875,747,,149,1441,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,4,Mongloti tripura,,, Chiamenpara ,,,,,1875,487,,1487,1543,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,5,Mongloti tripura,,, Modhuchhara ,,,,,1975,513,,1411,1962,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,6,Mongloti tripura,,, Pochim Champ Para ,,,,,1725,448,,957,957,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,7,Jasmin Akter,,, Barkhola Para ,,,,,1649,428,,1425,1425,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,8,Umme Habiba,,, Madham Para ,,,,,1765,458,,1255,1255,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Chattogram,Chandanaish,Dhopachari,9,Umme Habiba,,, Dokkin Chiringgata ,,,,,1672,434,,161,1437,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,1,Nomita Dabi,,, Chagachar ,,,,,2879,748,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,2,Nomita Dabi,,, Barudkhana ,,,,,3014,783,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,3,Nomita Dabi,,, Eid pukuria ,,,,,2784,723,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,4,Nomita Dabi,,, Sadar ,,,,,3019,784,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,5,Nomita Dabi,,, Hasondondi ,,,,,2548,662,,700,700,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,6,Nomita Dabi,,, Paschim Jamirjuri ,,,,,2687,698,,1245,1245,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,7,Nomita Dabi,,, Raijuara ,,,,,2894,752,,369,369,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,8,Nomita Dabi,,, Purbo Jamirjuri ,,,,,2782,723,,1508,1705,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Chattogram,Chandanaish,Dohazari,9,Nomita Dabi,,, Diakul ,,,,,2634,684,,125,1358,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Chattogram,Chandanaish,Kanchonabad,1,Sharmin Akter,,, Porchim Alahabad ,,,,,2871,746,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Chattogram,Chandanaish,Kanchonabad,2,Sharmin Akter,,, Tali para ,,,,,2671,694,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Chattogram,Chandanaish,Kanchonabad,3,Sharmin Akter,,, Shahasufi Rasid talukder bari ,,,,,2781,722,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Chattogram,Chandanaish,Kanchonabad,4,Sharmin Akter,,, Muradabad ,,,,,3185,827,,700,700,,,,,,,,,,,,,,,,
