SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,01,,,,Sabek Para,সাবেক পাড়া,BHR101,21.500816,92.031538,4500,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,02,,,,Sawdagar Para,সওদাগর পাড়া,BHR201,21.501003,92.024630,5000,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,02,,,,Dakkhin Para,দক্ষিণ পাড়া,BHR202,21.498151,92.027493,2000,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,03,,,,Pashchim Para,পশ্চিম পাড়া,BHR301,21.501702,92.021454,4000,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,04,,,,Masharaf Para,মশারফ পাড়া,BHR401,21.500666,92.039036,700,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,04,,,,Chauchula Mura,চৌচূলা মুড়া,BHR402,21.503742,92.038376,4000,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,04,,,,Bania Para,বানিয়া পাড়া,BHR403,21.497764,92.035151,5500,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,05,,,,Chhandur Para,ছান্দূর পাড়া,BHR501,21.500477,92.042551,1500,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,05,,,,Highschool Para,হাইস্কুল পাড়া,BHR502,21.499244,92.044795,150,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,05,,,,Chaingha Mura,চাইংগা মূরা,BHR503,21.504321,92.047475,900,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,05,,,,Mura Para,মুড়া পাড়া,BHR504,21.500404,92.048493,800,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,05,,,,Natun Para,নতুন পাড়া,BHR505,21.502129,92.053677,1500,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,06,,,,Hajir Para,হাজীর পাড়া,BHR601,21.497730,92.045598,1200,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,06,,,,Karim Sikder Para,করিম সিকদার পাড়া,BHR602,21.495106,92.044950,3000,,,,,,,,,,,,,,,,,,,,
