SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,1,,,,Sukuria Para ,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,1,,,,Fakirakata ,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,1,,,,Amtali,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,1,,,,Mogoriakata ,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,1,,,,Boro Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,2,,,,Munsir Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,2,,,,Mazer Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,2,,,,Pahartali ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,3,,,,Mahara Para ,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,3,,,,Miazir Para ,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,3,,,,Monu Miar Para,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,3,,,,Moulovi Ansar Ali Para  ,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,4,,,,Debanga Para ,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,4,,,,Pahartali ,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,4,,,,Gulguliya Para ,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Modhuar Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Latuar Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Mohorir Dail ,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Siphair Para,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Gorostan Para,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Hindu Para ,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,5,,,,Dhopa Para,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,6,,,,Choto Kulal Para ,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,6,,,,Bara Kulal Para ,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,6,,,,Satgoria Para ,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,6,,,,Nijtaluk Para,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,7,,,,Jagira Ghona ,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,8,,,,Jagira Ghona ,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,8,,,,Fakira Ghona,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Bara Moheshkhali,9,,,,Fakira Ghona,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,1,,,,Uttur Sipahir Para,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,1,,,,Maddham Sipahir Para,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,2,,,,Purba Sipahir Para,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,2,,,,Dakkhin Sipahir Para,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,3,,,,Dakkhin Nolbila,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,4,,,,Umbaniya Para,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,4,,,,Uttur Kul,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,4,,,,Boshira Khola,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,5,,,,Lamba Ghona,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,5,,,,Dakkhin Kul,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Cox's Bazar,Moheshkhali,Choto Moheshkhali,6,,,,Lamba Ghona Purba,,,,,,,,,,,,,,,,,,,,,,,,,
