SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,01,,,,Maulavi Saleh Ahmod Para,মৌলভী ছালেহ আহমদ পাড়া,CHA101,21.427418,92.076900,500,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,01,,,,Pashchim Para,পশ্চিম পাড়া,CHA102,21.425254,92.077644,400,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,01,,,,Ali Hossen Sikder Para,আলী হোসেন সিকদার পাড়া,CHA103,21.423840,92.079018,2000,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,01,,,,Poultry Farm,পোল্ট্রি ফার্ম,CHA104,21.429099,92.078462,100,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,02,,,,Dakkhin Chakmarkul Miaji Para,দক্ষিণ চাকমারকুল মিয়াজী পাড়া,CHA201,21.420260,92.080823,1500,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,02,,,,Natun Char Para,নতুন চর পাড়া,CHA202,21.419353,92.075824,800,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,02,,,,Moajjimer Dwip,"মোয়াজ্জিমের দ্বীপ
",CHA203,21.414278,92.076930,700,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,03,,,,Dakkhin Chakmarkul Matbor Para,দক্ষিণ চাকমারকুল মাতবর পাড়া,CHA301,21.419433,92.083673,700,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,03,,,,Mistri Para,মিস্ত্রি পাড়া,CHA302,21.418269,92.086246,1000,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,03,,,,Dumer Char,ডুমের চর,CHA303,21.417896,92.087770,1200,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,03,,,,Dakkhin Charpara,দক্ষিণ চরপাড়া,CHA304,21.418334,92.084433,100,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,04,,,,Dakkhin Chakmarkul Konar Para,দক্ষিণ চাকমারকুল কোনার পাড়া,CHA401,21.417939,92.091778,1000,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,04,,,,Dakkhin Chakmarkul Mallik Para,দক্ষিণ চাকমারকুল মল্লিক পাড়া,CHA402,21.421590,92.089585,350,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,04,,,,Dakkhin Chakmarkul Khondakar Para,দক্ষিণ চাকমারকুল খোন্দকার পাড়া,CHA403,21.423075,92.088990,600,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Cox's Bazar,Ramu,Chakmarkul,04,,,,Dakkhin Chakmarkul Askar Para,দক্ষিণ চাকমারকুল আসকর পাড়া,CHA404,21.424388,92.087424,800,,,,,,,,,,,,,,,,,,,,
