SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Pashchim Marichya Goraiyar Dwip,পশ্চিম মরিচ্যা গোরাইয়ার দ্বীপ,HAL101,21.298858,92.084368,1500,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Pashchim Marichya Barua Para,পশ্চিম মরিচ্যা বড়ুয়া পাড়া,HAL102,21.303038,92.089252,1500,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Pashchim And Dakkhin Marichya Setuni Para,পশ্চিম ও দক্ষিণ মরিচ্যা সেতুনি পাড়া,HAL103,21.301596,92.094504,2500,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Pashchim Marichya,পশ্চিম মরিচ্যা,HAL104,21.308538,92.093548,2000,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Purba Marichya Madhu Ghona,পূর্ব মরিচ্যা মধু ঘোনা,HAL105,21.302576,92.100170,2500,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Purba and Maddhyam Marichya,পূর্ব ও মধ্যম মরিচ্যা,HAL106,21.308915,92.099412,3000,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,01,,,,Purba Marichya Kathaliya,পূর্ব মরিচ্যা কাঠালিয়া,HAL107,21.313897,92.102431,2000,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,02,,,,Halukiya Para,হালুকিয়া পাড়া,HAL201,21.322702,92.109257,1200,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,02,,,,Rubberdrem Para,রাবারড্রেম পাড়া,HAL202,21.328046,92.113198,500,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Cox's Bazar,Ukhia,Haldia Palang,02,,,,Sikder Para,সিকদার পাড়া,HAL203,21.322442,92.119008,1200,,,,,,,,,,,,,,,,,,,,
