SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,01,,,,Dadan Karbari Para,দাদন কারবারি পাড়া,BAB101,23.330325,92.037638,950,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,01,,,,Babuchhara Bazar,বাবুছড়া বাজার,BAB102,23.337163,92.035917,1150,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Moggya Karbari Para,মগ্যা কারবারি পাড়া,BAB201,23.343573,92.035029,750,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Sahadeb Karbari Para,সহদেব কারবারি পাড়া,BAB202,23.352687,92.031294,500,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Rokchandra Mahajon Para,রোকচন্দ্র মহাজন পাড়া,BAB203,23.357357,92.033806,650,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Kandara Karbari Para,কান্দারা কারবারি পাড়া,BAB204,23.363766,92.038110,300,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Shachindra Karbari Para,শচীন্দ্র কারবারি পাড়া,BAB301,23.364200,92.028344,400,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Rabichandra Karbari Para,রবিচন্দ্র কারবারি পাড়া,BAB302,23.383899,92.034815,250,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Natun Chandra Karbari Para,নতুন চন্দ্র কারবারি পাড়া,BAB303,23.382502,92.023296,646,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Badan Kumar Karbari Para,বদন কুমার কারবারি পাড়া,BAB401,23.330321,92.006932,210,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Khonsing Karbari Para,খনসিং কারবারি পাড়া,BAB402,23.340529,92.007042,40,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Biddya Kumar Karbari Para,বিদ্যা কুমার কারবারি পাড়া,BAB403,23.324688,92.008781,15,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Ketuchandra Karbari Para,কেতুচন্দ্র কারবারি পাড়া,BAB404,23.344548,92.031802,260,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Nunchhari DP Para,নুনছড়ি ডিপি পাড়া,BAB405,23.326712,92.028874,520,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Nunchhari Chowdhury Para,নুনছড়ি চৌধুরী পাড়া,BAB406,23.338600,92.028510,445,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,05,,,,Tarit Kanti Karbari Para,তড়িত কান্তি কারবারি পাড়া,BAB501,23.345201,92.027419,285,,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,05,,,,Sursen Karbari Para,সুরসেন কারবারি পাড়া,BAB502,23.350012,92.023066,405,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,05,,,,Indramoni Karbari Para,ইন্দ্রমণি কারবারি পাড়া,BAB503,23.356685,92.024980,220,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,05,,,,Sadhanchandra Karbari Para,সাধনচন্দ্র কারবারি পাড়া,BAB504,23.365345,92.016378,84,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,05,,,,Kiron Kumar Karbari Para,কিরণ কুমার কারবারি পাড়া,BAB505,23.364732,92.009121,280,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Bagan Kumar Karbari Para,বাগান কুমার কারবারি পাড়া,BAB601,23.377713,91.999218,13,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Gandhi Kumar Karbari Para,গান্ধী কুমার কারবারি পাড়া,BAB602,23.375697,91.997651,70,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Gadachan Karbarei Para,গদাচান কারবারি পাড়া,BAB603,23.372353,92.007035,135,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Birendra Headman Para,বীরেন্দ্র হেডম্যান পাড়া,BAB604,23.386563,92.014459,125,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Bangali Chan Karbari Para,বাঙালি চান কারবারি পাড়া,BAB605,23.378688,92.012920,140,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,06,,,,Nandalal Karbari Para,নন্দলাল কারবারি পাড়া,BAB606,23.395647,92.018377,150,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,07,,,,Jogesh Chandra Karbari Para,যোগেশ চন্দ্র কারবারি পাড়া,BAB701,23.405706,92.004454,330,,,,,,,,,,,,,,,,,,,,
