SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Nabakumar Para,নবকুমার পাড়া,BHA101,23.255766,91.989170,160,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Shyambari Para,শ্যামবাড়ি পাড়া,BHA102,23.248117,91.994283,112,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Almani Para,আলমণি পাড়া,BHA103,23.239776,91.982870,300,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Rabidhan Para,রবিধন পাড়া,BHA104,23.232943,91.969690,309,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Shib Mandir Para,শিব মন্দির পাড়া,BHA105,23.237892,91.962195,188,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Bara Rai Taisa Para,বড় রাই তৈসা পাড়া,BHA106,23.243846,91.946698,220,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Chhota Rai Taisa Para,ছোট রাই তৈসা পাড়া,BHA107,23.241094,91.939428,128,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,10 No. Prakalpa Gram,১০ নং প্রকল্প গ্রাম,BHA108,23.238812,91.945630,440,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Lamba Para,লম্বা পাড়া,BHA109,23.246918,91.925561,112,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari ,Khagrachhari Sadar,Bhaibonchhara,01,,,,Garjan Tila,গর্জন টিলা,BHA110,23.240521,91.926167,240,,,,,,,,,,,,,,,,,,,,
