SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,01,,,,Amtali Mathu Mag Para,আমতলি মথু মগ পাড়া,AMT101,23.178005,91.815613,500,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,01,,,,Taher Sardar Para,তাহের সর্দার পাড়া,AMT102,23.172926,91.822903,800,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,01,,,,Amtali Adarsha Para,আমতলি আদর্শ পাড়া,AMT103,23.172559,91.833112,360,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,01,,,,Amtali Natun Para,আমতলি নতুন পাড়া,AMT104,23.172274,91.837708,540,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,01,,,,Amtali Chauddagram Para,আমতলি চৌদ্দগ্রাম পাড়া,AMT105,23.171847,91.842483,700,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,02,,,,Abbas Sardar Para,আব্বাস সর্দার পাড়া,AMT201,23.165244,91.828954,350,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,02,,,,Sat Bhaiya Para,সাত ভাইয়া পাড়া,AMT202,23.163519,91.822214,300,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,02,,,,Wadud Member Para,ওয়াদুদ মেম্বার পাড়া ,AMT203,23.157130,91.834686,320,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,02,,,,Jafar Para,জাফর পাড়া,AMT204,23.163941,91.840653,310,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,03,,,,Writer Para,রাইটার পাড়া,AMT301,23.167970,91.818471,225,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,03,,,,Dewan Bazar Para,দেওয়ান বাজার পাড়া,AMT302,23.163623,91.812023,440,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,03,,,,Yasin Member Para,ইয়াছিন মেম্বার পাড়া,AMT303,23.160189,91.812021,235,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,03,,,,Dewan Bazar BGB Camp,দেওয়ান বাজার বিজিবি ক্যাম্প,AMT304,23.161288,91.809132,45,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,04,,,,Bashri Nagar,বাশরি নগর,AMT401,23.152752,91.826938,250,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Khagrachhari,Matiranga,Amtali,04,,,,Jalil Memebr Para,জলিল মেম্বার পাড়া,AMT402,23.147105,91.823287,390,,,,,,,,,,,,,,,,,,,,
