SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,1,,,,Durgamoni Para,,,,,517,120,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,1,,,,Shrikuntimachara,,,,,225,55,,150,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,1,,,,Batti Para,,,,,169,41,,120,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,2,,,,Dighalchari,,,,,94,21,,55,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,2,,,,Birkumar Para,,,,,94,21,,55,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,2,,,,Ratnasen Para,,,,,155,35,,90,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,2,,,,Karapchandra Para,,,,,154,63,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,2,,,,Subalchandra Para,,,,,144,35,,80,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,3,,,,Matuli Para,,,,,59,12,,30,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,3,,,,Buddharam Para,,,,,347,78,,170,,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,3,,,,Ulthachari,,,,,143,36,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,4,,,,Kharanshing Para,,,,,498,116,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,5,,,,Lambu Para,,,,,374,91,,210,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,5,,,,Surjomohon Para,,,,,236,58,,145,,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,5,,,,Kinamuni Para,,,,,114,31,,95,,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,5,,,,Kharga Para,,,,,286,70,,,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,6,,,,Pettuya Para,,,,,230,57,,130,,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,6,,,,Karuna Para,,,,,139,34,,80,,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,6,,,,Ramani Para,,,,,176,38,,100,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,6,,,,Jagat Mohon Para,,,,,470,110,,255,,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,7,,,,Kharga Para,,,,,432,91,,220,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,7,,,,Jitendra Para,,,,,337,106,,230,,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Khagrachhari,Panchari,Chenggi,7,,,,Atikmoni Para,,,,,161,39,,110,,,,,,,,,,,,,,,,,
