SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Alimuddin Para Uttar,আলীমুদ্দীন পাড়া উত্তর,ALI101,21.653373,92.310993,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Bojol Member Para,বজল মেম্বার পাড়া,ALI102,21.653231,92.304408,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Mostak Para,মোস্তাক পাড়া,ALI103,21.656151,92.310559,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Pashchim Saber Mia Para,পশ্চিম ছাবের মিয়া পাড়া,ALI104,21.653588,92.299773,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Purba Saber Mia Para,পূর্ব ছাবের মিয়া পাড়া,ALI105,21.658173,92.305257,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Saber Mia Para,ছাবের মিয়া পাড়া,ALI106,21.654204,92.303525,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Soyedur Rahman Para,ছৈয়দুর রহমান পাড়া,ALI107,21.65337,92.30508,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,T&T Para,টি এন্ড টি পাড়া,ALI108,21.655076,92.311545,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Thana Para,থানা পাড়া,ALI109,21.65512,92.307556,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,Bangladesh,Chattogram,Bandarban,Alikadam,Alikadam,01,,,,Thanda Mistri Para,ঠান্ডা মিস্ত্রী পাড়া,ALI110,21.658274,92.309923,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
