SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,01,,,,Dadan Karbari Para,দাদন কারবারি পাড়া,BAB101,23.330325,92.037638,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,01,,,,Babuchhara Bazar,বাবুছড়া বাজার,BAB102,23.337163,92.035917,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Moggya Karbari Para,মগ্যা কারবারি পাড়া,BAB201,23.343573,92.035029,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Sahadeb Karbari Para,সহদেব কারবারি পাড়া,BAB202,23.352687,92.031294,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Rokchandra Mahajon Para,রোকচন্দ্র মহাজন পাড়া,BAB203,23.357357,92.033806,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,02,,,,Kandara Karbari Para,কান্দারা কারবারি পাড়া,BAB204,23.363766,92.03811,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Shachindra Karbari Para,শচীন্দ্র কারবারি পাড়া,BAB301,23.3642,92.028344,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Rabichandra Karbari Para,রবিচন্দ্র কারবারি পাড়া,BAB302,23.383899,92.034815,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,03,,,,Natun Chandra Karbari Para,নতুন চন্দ্র কারবারি পাড়া,BAB303,23.382502,92.023296,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Badan Kumar Karbari Para,বদন কুমার কারবারি পাড়া,BAB401,23.330321,92.006932,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
11,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Khonsing Karbari Para,খনসিং কারবারি পাড়া,BAB402,23.340529,92.007042,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
12,Bangladesh,Chattogram,Khagrachhari,Dighinala,Babuchhara,04,,,,Biddya Kumar Karbari Para,বিদ্যা কুমার কারবারি পাড়া,BAB403,23.324688,92.008781,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
